Sample_ID,extraction_ID,pcr_replicate,project,alt_ID,tank_ID,station_ID,sample_type,extraction_plate,extraction_well,DNA_conc,MiSeq_run,collection_year,collection_month,collection_day,location1,longitude,latitude,depth,time_of_day
e02112_C,e02112,C,aquaria,59,40,NA,sample,18_2023,A1,5.155,A,2023,3,24,NA,NA,NA,NA,NA
e02205_C,e02205,C,aquaria,384,87,NA,sample,19_2023,A1,2.504,A,2023,2,1,NA,NA,NA,NA,NA
e02114_C,e02114,C,aquaria,423,47,NA,sample,18_2023,C1,2.241,A,2023,3,31,NA,NA,NA,NA,NA
e02207_C,e02207,C,aquaria,429,98,NA,sample,19_2023,C1,4.283,A,2023,1,23,NA,NA,NA,NA,NA
e02116_C,e02116,C,aquaria,299,55,NA,sample,18_2023,E1,2.473,A,2023,3,31,NA,NA,NA,NA,NA
e02209_C,e02209,C,aquaria,332,98,NA,sample,19_2023,E1,2.621,A,2023,1,23,NA,NA,NA,NA,NA
e02118_C,e02118,C,aquaria,224,55,NA,sample,18_2023,G1,2.393,A,2023,3,31,NA,NA,NA,NA,NA
e02211_C,e02211,C,aquaria,300,87,NA,sample,19_2023,G1,3.158,A,2023,2,1,NA,NA,NA,NA,NA
e02120_C,e02120,C,aquaria,413,11,NA,sample,18_2023,A2,2.327,A,2023,3,27,NA,NA,NA,NA,NA
e02213_C,e02213,C,aquaria,NA,NA,NA,extraction_blank,19_2023,A2,0.28,A,NA,NA,NA,NA,NA,NA,NA,NA
e02122_C,e02122,C,aquaria,213,40,NA,sample,18_2023,C2,5.449,A,2023,3,24,NA,NA,NA,NA,NA
e02214_C,e02214,C,aquaria,241,T,NA,field_blank,19_2023,B2,0.51,A,2023,2,1,NA,NA,NA,NA,NA
e02124_C,e02124,C,aquaria,220,40,NA,sample,18_2023,E2,4.737,A,2023,3,24,NA,NA,NA,NA,NA
e02216_C,e02216,C,aquaria,133,87,NA,sample,19_2023,D2,1.946,A,2023,2,1,NA,NA,NA,NA,NA
e02126_C,e02126,C,aquaria,273,47,NA,sample,18_2023,G2,1.982,A,2023,3,31,NA,NA,NA,NA,NA
e02218_C,e02218,C,aquaria,314,98,NA,sample,19_2023,F2,5.769,A,2023,1,23,NA,NA,NA,NA,NA
e02128_C,e02128,C,aquaria,NA,NA,NA,extraction_blank,18_2023,A3,0.218,A,NA,NA,NA,NA,NA,NA,NA,NA
e02129_C,e02129,C,aquaria,275,47,NA,sample,18_2023,B3,2.249,A,2023,3,31,NA,NA,NA,NA,NA
e02220_C,e02220,C,aquaria,79,72,NA,sample,19_2023,H2,12.923,A,2023,1,23,NA,NA,NA,NA,NA
e02131_C,e02131,C,aquaria,495,11,NA,sample,18_2023,D3,3.517,A,2023,3,27,NA,NA,NA,NA,NA
e02222_C,e02222,C,aquaria,94,72,NA,sample,19_2023,B3,11.216,A,2023,1,23,NA,NA,NA,NA,NA
e02133_C,e02133,C,aquaria,141,86,NA,sample,18_2023,F3,3.295,A,2023,3,17,NA,NA,NA,NA,NA
e02224_C,e02224,C,aquaria,10,72,NA,sample,19_2023,D3,12.142,A,2023,1,23,NA,NA,NA,NA,NA
e02135_C,e02135,C,aquaria,194,T,NA,field_blank,18_2023,H3,0.68,A,2023,3,24,NA,NA,NA,NA,NA
e02226_C,e02226,C,aquaria,340,32,NA,sample,19_2023,F3,31.5,A,2023,1,23,NA,NA,NA,NA,NA
e02137_C,e02137,C,aquaria,118,T,NA,field_blank,18_2023,B4,0.477,A,2023,3,27,NA,NA,NA,NA,NA
